"Адрес ""грязный""";Адрес чистый
Свердловская область, г. Нижний Тагил, ул. Пихтовая, 16;г. Нижний Тагил, ул. Пихтовая, 16
Свердловская область, г. Нижний Тагил, ул. Победы, 35;г. Нижний Тагил, ул. Победы, 35
Свердловская область, г. Нижний Тагил, ул. Попова, 17;г. Нижний Тагил, ул. Попова, 17
Свердловская область, г. Нижний Тагил, ул. Радищева, 3;г. Нижний Тагил, ул. Радищева, 3
Свердловская область, г. Нижний Тагил, ул. Сланцевая, 13А;г. Нижний Тагил, ул. Сланцевая, 13А
Свердловская область, г. Нижний Тагил, ул. Тимирязева, 76А;г. Нижний Тагил, ул. Тимирязева, 76А
Свердловская область, г. Нижний Тагил, ул. Тимирязева, 109;г. Нижний Тагил, ул. Тимирязева, 109
Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. 60 лет Октября, 22а;г. Нижневартовск, ул. 60 лет Октября, 22а
Ханты-Мансийский автономный округ-Югра, городской округ Нижневартовск, город Нижневартовск, улица Таежная, 24;городской округ Нижневартовск,г. Нижневартовск,ул. Таежная, 24
Свердловская область, г. Нижний Тагил, проспект Ленина, д. 27;г. Нижний Тагил, проспект Ленина, д. 27
Свердловская область,  г. Нижний Тагил, просп. Ленина, 38,;г. Нижний Тагил, просп. Ленина, 38,
Приморский край, г. Находка, ул. Горького, 8;г. Находка, ул. Горького, 8
Приморский край, г. Находка, ул. Нахимовская, 21А;г. Находка, ул. Нахимовская, 21А
Республика Коми, г. Ухта, ул. Озёрная, 10;г. Ухта, ул. Озёрная, 10
Республика Коми, г. Ухта, ул. Набережная Нефтяников, 18;г. Ухта, ул. Набережная Нефтяников, 18
Республика Коми, МО ГО Ухта, г. Ухта, ул. Чибьюская, 28;МО ГО Ухта, г. Ухта, ул. Чибьюская, 28
Республика Коми, г. Ухта, ул. Юбилейная, 14;г. Ухта, ул. Юбилейная, 14
Республика Коми, г. Ухта, ул. Бушуева, 2;г. Ухта, ул. Бушуева, 2
Республика Коми, г. Ухта, ул. 30 лет Октября, 6А;г. Ухта, ул. 30 лет Октября, 6А
Свердловская область, городской округ Первоуральск, п. Билимбай, площадь Свободы, 2;городской округ Первоуральск, п. Билимбай, площадь Свободы, 2
Самарская область, г. Самара, ул. Гагарина, 36;г. Самара, ул. Гагарина, 36
Самарская область, г. Самара, ул. Мостовая, 12;г. Самара, ул. Мостовая, 12
Самарская область, г. Самара, ул. Советской Армии, 212;г. Самара, ул. Советской Армии, 212
Самарская область, г. Самара, Советский район, ул. Советской Армии, 27;г. Самара, ул. Советской Армии, 27
Приморский край, г. Владивосток, ул. 50 лет ВЛКСМ, 27;г. Владивосток, ул. 50 лет ВЛКСМ, 27
Приморский край, г. Владивосток, ул. Артековская, 9;г. Владивосток, ул. Артековская, 9
Приморский край, г. Владивосток, ул. Баляева, 38;г. Владивосток, ул. Баляева, 38
